"","Title","Type","Organism","Assays","Release.Date","Processed.Data","Raw.Data","Present.in.Atlas","ArrayExpress.URL"
"E-MTAB-8340","Genomic characterization of intrinsic and acquired resistance to cetuximab in colorectal cancer patients","genotyping by array","Homo sapiens",31,"2019-09-21","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8340/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8340/"
"E-MTAB-5372","Genomic characterization of 8q24 amplified sequences in patients affected by Acute Myeloid Leukemia","genotyping by array","Homo sapiens",24,"2019-09-13","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5372/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5372/"
"E-MTAB-8213","Genotyping by array of cartilage tumors taken from human patients","genotyping by array","Homo sapiens",102,"2019-08-05","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-8213/E-MTAB-8213.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8213/"
"E-MTAB-5908","Amplification of 1q32.1 refines the molecular classification of endometrial carcinoma: SNP array","genotyping by array","Homo sapiens",141,"2019-07-27","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5908/E-MTAB-5908.processed.1.zip","Data is not available",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5908/"
"E-MTAB-7813","Illumina Omni2.5-Octo BeadChip data from 50 Khoe-San individuals from Xade and 1 from Ghanzi in Botswana","genotyping by array","Homo sapiens",104,"2019-04-26","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7813/E-MTAB-7813.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7813/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7813/"
"E-MTAB-7631","Genotyping analysis of AML samples at diagnosis and relapse after Hematopoietic Stem Cell Transplantation (HSCT)","genotyping by array","Homo sapiens",24,"2019-01-30","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7631/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7631/"
"E-MTAB-6520","High resolution SNP-Array analysis in a Chronic lymphocytic leukemia (CLL) patient","genotyping by array","Homo sapiens",1,"2018-09-28","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6520/E-MTAB-6520.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6520/"
"E-MTAB-6127","SNP array Multi-omics molecular profiling of primary prostate adenocarcinoma","genotyping by array","Homo sapiens",66,"2018-07-09","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6127/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6127/"
"E-MTAB-6126","SNP array for Multi-omics molecular profiling of primary prostate adenocarcinoma","genotyping by array","Homo sapiens",132,"2018-06-24","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6126/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6126/"
"E-MTAB-6820","Copy number variants analysis of heterotaxy syndrome patients with congenital heart defects","genotyping by array","Homo sapiens",63,"2018-05-24","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6820/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6820/"
"E-MTAB-6666","Genotyping of 323 healthy Europeans blood samples  (CEDAR cohort) for cis-eQTL analysis in 6 immune cell types and ileal, colonic and rectal biopsies","genotyping by array","Homo sapiens",692,"2018-04-28","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6666/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6666/"
"E-MTAB-6371","Genotyping by array of 123 IDH WT glioblastomas","genotyping by array","Homo sapiens",123,"2018-02-27","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6371/raw/",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6371/"
"E-MTAB-6440","Genotyping data for seven patients from three unrelated, consanguineous multiplex families that presented with combined immunodeficiency, and were found to harbour mutations in CARMIL2","genotyping by array","Homo sapiens",14,"2018-01-25","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6440/E-MTAB-6440.processed.1.zip","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6440/E-MTAB-6440.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6440/"
"E-MTAB-5625","Giant marker chromosomes in cancer","genotyping by array","Homo sapiens",4,"2017-12-22","Data is not available","https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5625/E-MTAB-5625.raw.1.zip",NA,"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5625/"
